# s ZZ error
0.100 0.016475873734 0.000002139715
0.110 0.019267489610 0.000002396472
0.120 0.022308703102 0.000002688889
0.130 0.025038463240 0.000002822245
0.140 0.027169072099 0.000002743712
0.150 0.028857354239 0.000002705859
0.160 0.030562413290 0.000002813771
0.170 0.032722390717 0.000002975890
0.180 0.035481476097 0.000003374764
0.190 0.038639978245 0.000003945891
0.200 0.041823230019 0.000004409835
0.210 0.044732195267 0.000004787827
0.220 0.047309913024 0.000004693099
0.230 0.049739922137 0.000004205532
0.240 0.052300860199 0.000003807955
0.250 0.055193107778 0.000003721654
0.260 0.058448876612 0.000003862319
0.270 0.061954424450 0.000004096727
0.280 0.065553814290 0.000004560762
0.290 0.069154793744 0.000005203464
0.300 0.072769707010 0.000005794302
0.310 0.076485828746 0.000006119412
0.320 0.080394420478 0.000006122454
0.330 0.084537248976 0.000005924168
0.340 0.088890428446 0.000005929602
0.350 0.093403904912 0.000006713527
0.360 0.098046933698 0.000008426426
0.370 0.102846766855 0.000006263694
0.380 0.107873981725 0.000009996840
0.390 0.113220733001 0.000015522450
0.400 0.118952087113 0.000014574328
0.410 0.125088063130 0.000017978584
0.420 0.131630196129 0.000027009056
0.430 0.138558863877 0.000021706705
0.440 0.145880584193 0.000031058745
0.450 0.153636305873 0.000044638780
0.460 0.161898143901 0.000053585557
0.470 0.170776056346 0.000072964668
0.480 0.180394246544 0.000061081896
0.490 0.190810274475 0.000069943075
0.500 0.202072398771 0.000084843449
0.510 0.214326630307 0.000087880494
0.520 0.227589986726 0.000113255649
0.530 0.242014433451 0.000114122580
0.540 0.257720224682 0.000129782162
0.550 0.274847440023 0.000198845001
0.560 0.293574175685 0.000336402309
0.570 0.314085967888 0.000510944084
0.580 0.336360370786 0.000722339612
0.590 0.360606411037 0.000921896112
0.600 0.386664070164 0.001001564893
0.610 0.414527449730 0.000951615226
0.620 0.444109459620 0.001092950867
0.630 0.474456888377 0.001443331715
0.640 0.505804048370 0.001897234364
0.650 0.537994206703 0.002509495361
0.660 0.569369197516 0.003396140510
0.670 0.598673017491 0.004549316333
0.680 0.625104857489 0.005927774511
0.690 0.647162137550 0.007460866326
0.700 0.665245454716 0.009139936564
0.710 0.678477959503 0.010033230744
0.720 0.686529076454 0.010465213339
0.730 0.690778623968 0.010258209129
0.740 0.702947330294 0.010019927790
0.750 0.716055585537 0.014456829824
0.760 0.719597559170 0.026799583087
0.770 0.736814375039 0.042034933503
0.780 0.749345390582 0.061845550741
0.790 0.759123660825 0.072445183168
0.800 0.764121123612 0.082391113810
0.810 0.766331383874 0.089950443089
0.820 0.766638314894 0.095434178610
0.830 0.764979716382 0.096330709260
0.840 0.764206431164 0.096742484967
0.850 0.787393832293 0.094222617086
0.860 0.910647782468 0.100144072083
0.870 0.949004068695 0.091476736769
0.880 0.955600660298 0.095514087148
0.890 0.963821900259 0.099167817997
0.900 0.971237745482 0.100966549200
0.910 0.978323307904 0.103244945810
0.920 0.982089545399 0.101953804610
0.930 0.989844342509 0.097982525571
0.940 0.993369987658 0.100558721005
0.950 0.989894989980 0.101384323268
0.960 0.988323718869 0.102297435330
0.970 0.987091291897 0.102389530059
0.980 0.986777410058 0.101193468439
0.990 0.982333840135 0.097870388228
1.000 0.972861991520 0.096132316016
